10 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 5
(u, v) E = { 
      ( 0,  1, 0.79261)
      ( 0,  2, 0.48497)
      ( 0,  4, 0.10921)
      ( 1,  2, 0.63677)
      ( 1,  3, 0.72796)
      ( 1,  4, 0.06738)
      ( 2,  1, 0.50480)
      ( 3,  2, 0.01000)
      ( 3,  4, 0.12665)
      ( 4,  1, 0.00789)
      ( 4,  2, 0.43075)
      ( 4,  3, 0.90364) } 
---------------- 

** G2: |V| = 5
(u, v) E = { 
      ( 0,  1, 0.62333)
      ( 0,  2, 0.16064)
      ( 0,  4, 0.72198)
      ( 1,  3, 0.80575)
      ( 1,  4, 0.81127)
      ( 2,  1, 0.19761)
      ( 2,  3, 0.43586)
      ( 2,  4, 0.21258)
      ( 3,  1, 0.44525)
      ( 3,  2, 0.06339)
      ( 3,  4, 0.80619)
      ( 4,  1, 0.37859)
      ( 4,  2, 0.04229)
      ( 4,  3, 0.27132) } 
---------------- 

** G3: |V| = 5
(u, v) E = { 
      ( 0,  1, 0.02532)
      ( 0,  2, 0.24851)
      ( 0,  4, 0.79361)
      ( 1,  4, 0.09757)
      ( 2,  3, 0.68088)
      ( 2,  4, 0.69237)
      ( 3,  1, 0.25096)
      ( 3,  2, 0.84996)
      ( 4,  2, 0.33156)
      ( 4,  3, 0.92075) } 
---------------- 

** G4: |V| = 5
(u, v) E = { 
      ( 0,  1, 0.19295)
      ( 0,  2, 0.19772)
      ( 1,  3, 0.48175)
      ( 2,  1, 0.48439)
      ( 2,  3, 0.15986)
      ( 2,  4, 0.74924)
      ( 3,  1, 0.10909)
      ( 3,  2, 0.54891)
      ( 3,  4, 0.96959)
      ( 4,  1, 0.22362)
      ( 4,  2, 0.81276)
      ( 4,  3, 0.31544) } 
---------------- 

** G5: |V| = 5
(u, v) E = { 
      ( 0,  3, 0.37883)
      ( 0,  4, 0.29644)
      ( 1,  3, 0.67887)
      ( 2,  1, 0.84933)
      ( 2,  4, 0.20172)
      ( 3,  4, 0.40252)
      ( 4,  1, 0.26267)
      ( 4,  2, 0.16907)
      ( 4,  3, 0.01428) } 
---------------- 

** G6: |V| = 10
(u, v) E = { 
      ( 0,  1, 0.63934)
      ( 0,  2, 0.95407)
      ( 0,  3, 0.74756)
      ( 0,  5, 0.56340)
      ( 0,  7, 0.38335)
      ( 1,  2, 0.55861)
      ( 1,  3, 0.40066)
      ( 1,  4, 0.41663)
      ( 1,  5, 0.62931)
      ( 1,  6, 0.40654)
      ( 1,  8, 0.89501)
      ( 2,  1, 0.57717)
      ( 2,  3, 0.53800)
      ( 2,  4, 0.02927)
      ( 2,  5, 0.69480)
      ( 2,  7, 0.98119)
      ( 2,  9, 0.78113)
      ( 3,  2, 0.39311)
      ( 3,  4, 0.16860)
      ( 3,  5, 0.28552)
      ( 3,  7, 0.31404)
      ( 3,  9, 0.03478)
      ( 4,  1, 0.02081)
      ( 4,  3, 0.32331)
      ( 4,  5, 0.22635)
      ( 4,  6, 0.12612)
      ( 4,  7, 0.21832)
      ( 4,  8, 0.73582)
      ( 4,  9, 0.99656)
      ( 5,  2, 0.75785)
      ( 5,  4, 0.06737)
      ( 5,  6, 0.37485)
      ( 5,  8, 0.71474)
      ( 5,  9, 0.45316)
      ( 6,  1, 0.50322)
      ( 6,  2, 0.59236)
      ( 6,  3, 0.58086)
      ( 6,  5, 0.30145)
