1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 1000
(u, v) E = { 
      ( 0,  2, 0.57419)
      ( 0, 17, 0.18681)
      ( 0, 70, 0.54452)
      ( 0, 136, 0.08090)
      ( 0, 153, 0.44406)
      ( 0, 170, 0.97703)
      ( 0, 186, 0.35100)
      ( 0, 205, 0.31654)
      ( 0, 209, 0.81883)
      ( 0, 216, 0.57656)
      ( 0, 227, 0.82990)
      ( 0, 254, 0.36933)
      ( 0, 286, 0.91367)
      ( 0, 287, 0.20343)
      ( 0, 293, 0.34168)
      ( 0, 314, 0.14881)
      ( 0, 346, 0.62610)
      ( 0, 368, 0.88269)
      ( 0, 372, 0.51602)
      ( 0, 408, 0.03743)
      ( 0, 423, 0.90763)
      ( 0, 435, 0.07223)
      ( 0, 438, 0.22450)
      ( 0, 455, 0.38131)
      ( 0, 456, 0.14795)
      ( 0, 471, 0.57460)
      ( 0, 476, 0.42646)
      ( 0, 498, 0.01248)
      ( 0, 517, 0.21168)
      ( 0, 618, 0.91519)
      ( 0, 641, 0.76383)
      ( 0, 644, 0.19023)
      ( 0, 702, 0.94718)
      ( 0, 758, 0.67475)
      ( 0, 768, 0.47344)
      ( 0, 774, 0.03793)
      ( 0, 807, 0.25565)
      ( 0, 819, 0.15733)
      ( 0, 889, 0.86131)
      ( 0, 908, 0.51199)
      ( 0, 917, 0.39278)
      ( 0, 935, 0.94801)
      ( 0, 946, 0.81890)
      ( 0, 947, 0.27523)
      ( 0, 977, 0.21987)
      ( 0, 982, 0.00335)
      ( 1,  5, 0.24741)
      ( 1,  8, 0.55680)
      ( 1, 14, 0.89549)
      ( 1, 39, 0.00459)
      ( 1, 42, 0.41684)
      ( 1, 124, 0.24848)
      ( 1, 125, 0.04890)
      ( 1, 154, 0.02558)
      ( 1, 167, 0.29479)
      ( 1, 195, 0.36547)
      ( 1, 220, 0.34039)
      ( 1, 289, 0.94361)
      ( 1, 311, 0.05782)
      ( 1, 321, 0.24153)
      ( 1, 331, 0.12636)
      ( 1, 334, 0.49484)
      ( 1, 355, 0.95633)
      ( 1, 364, 0.90966)
      ( 1, 370, 0.22177)
      ( 1, 402, 0.21820)
      ( 1, 447, 0.41368)
      ( 1, 456, 0.87476)
      ( 1, 466, 0.10578)
      ( 1, 478, 0.09359)
      ( 1, 504, 0.87915)
      ( 1, 539, 0.76099)
      ( 1, 550, 0.48418)
      ( 1, 561, 0.75707)
      ( 1, 565, 0.43605)
      ( 1, 583, 0.45075)
      ( 1, 588, 0.34302)
      ( 1, 591, 0.05662)
      ( 1, 600, 0.67579)
      ( 1, 601, 0.23948)
      ( 1, 618, 0.63197)
      ( 1, 635, 0.08853)
      ( 1, 657, 0.37342)
      ( 1, 667, 0.47425)
      ( 1, 670, 0.61837)
      ( 1, 701, 0.14358)
      ( 1, 735, 0.85587)
      ( 1, 760, 0.35868)
      ( 1, 796, 0.47594)
      ( 1, 800, 0.40578)
      ( 1, 839, 0.38798)
      ( 1, 874, 0.06706)
      ( 1, 878, 0.27188)
      ( 1, 880, 0.91212)
      ( 1, 895, 0.39708)
      ( 1, 899, 0.55663)
      ( 1, 922, 0.83496)
      ( 1, 935, 0.54648)
      ( 1, 947, 0.85305)
      ( 1, 948, 0.66704)
      ( 2,  4, 0.54167)
      ( 2, 47, 0.80625)
      ( 2, 55, 0.97341)
      ( 2, 64, 0.29248)
      ( 2, 75, 0.29137)
      ( 2, 116, 0.15412)
      ( 2, 148, 0.09276)
