1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 10000
(u, v) E = { 
      ( 0, 5013, 0.36721)
      ( 1, 9652, 0.24061)
      ( 2, 963, 0.32095)
      ( 3, 4478, 0.11510)
      ( 4, 7833, 0.01369)
      ( 5, 4685, 0.47869)
      ( 6, 3999, 0.58789)
      ( 7, 1854, 0.49362)
      ( 8, 5299, 0.33335)
      ( 9, 565, 0.13379)
      (10, 3856, 0.74308)
      (10, 6184, 0.10090)
      (10, 9049, 0.67391)
      (11, 7291, 0.84834)
      (12, 2687, 0.10727)
      (13, 7104, 0.53183)
      (14, 9272, 0.42226)
      (15, 7197, 0.36792)
      (16, 1404, 0.33256)
      (17, 3425, 0.35216)
      (18, 1032, 0.36800)
      (19, 4100, 0.01281)
      (20, 2901, 0.72646)
      (21, 6329, 0.94531)
      (22, 2123, 0.45519)
      (23, 2919, 0.51062)
      (24, 5056, 0.36871)
      (25, 3574, 0.85299)
      (25, 8175, 0.81787)
      (26, 372, 0.44343)
      (26, 4113, 0.54840)
      (27, 4710, 0.62306)
      (28, 4569, 0.76585)
      (29, 4729, 0.09592)
      (30, 8712, 0.59343)
      (31, 8335, 0.93078)
      (31, 8972, 0.77986)
      (32, 645, 0.19630)
      (33, 4353, 0.42099)
      (33, 7856, 0.17944)
      (33, 8565, 0.19734)
      (34, 5293, 0.79131)
      (35, 5981, 0.53834)
      (36, 8099, 0.96615)
      (37, 2783, 0.11888)
      (37, 8857, 0.61390)
      (38, 7384, 0.58672)
      (39, 1770, 0.37459)
      (40, 9840, 0.89771)
      (41, 1428, 0.36012)
      (42, 4632, 0.75149)
      (43, 1906, 0.12034)
      (44, 1818, 0.76346)
      (44, 3028, 0.26266)
      (45, 2249, 0.51365)
      (46, 3457, 0.28176)
      (47, 207, 0.38248)
      (48, 4958, 0.14773)
      (49, 768, 0.61046)
      (50, 926, 0.06155)
      (50, 8434, 0.82058)
      (51, 7938, 0.41649)
      (52, 7221, 0.78766)
      (53, 4280, 0.90901)
      (53, 6789, 0.05365)
      (53, 8704, 0.47805)
      (54, 3879, 0.46509)
      (55, 2730, 0.28219)
      (56, 531, 0.76802)
      (57, 3174, 0.27616)
      (58, 8032, 0.19622)
      (58, 8378, 0.89284)
      (59, 4534, 0.37683)
      (60, 6952, 0.74146)
      (61, 1709, 0.15075)
      (62, 7155, 0.00466)
      (63, 8022, 0.30670)
      (64, 3816, 0.44311)
      (65, 250, 0.87310)
      (66, 7336, 0.12396)
      (66, 7979, 0.98329)
      (67, 8657, 0.50601)
      (68, 4541, 0.39562)
      (69, 8723, 0.94458)
      (70, 684, 0.86979)
      (71, 1467, 0.61653)
      (71, 6687, 0.26390)
      (72, 5185, 0.53940)
      (73, 9779, 0.99454)
      (74, 175, 0.70712)
      (75, 2761, 0.11305)
      (75, 9621, 0.89686)
      (76, 7506, 0.19623)
      (76, 8100, 0.66379)
      (77, 2155, 0.58502)
      (78, 9382, 0.77799)
      (79, 1266, 0.90576)
      (80, 3952, 0.29756)
      (81, 1003, 0.53481)
      (82, 1175, 0.66673)
      (82, 4439, 0.34666)
      (83, 5384, 0.53014)
      (84, 3382, 0.60657)
      (85, 2744, 0.42165)
      (86, 9591, 0.96589)
      (87, 418, 0.84330)
      (88, 1166, 0.33287)
      (89, 6619, 0.17932)
      (89, 9753, 0.07394)
      (90, 3487, 0.35187)
      (90, 5107, 0.06847)
      (91, 2188, 0.98415)
      (92, 342, 0.53918)
      (93, 1679, 0.63767)
      (93, 7996, 0.99693)
      (94, 557, 0.72943)
      (94, 3492, 0.13415)
      (95, 1496, 0.99737)
      (96, 3482, 0.85906)
      (96, 8841, 0.26627)
      (97, 1742, 0.51732)
      (98, 4649, 0.96212)
      (99, 2375, 0.82764)
      (100, 934, 0.64138)
      (100, 8560, 0.94912)
      (101, 3445, 0.29809)
      (102, 2587, 0.10498)
      (103, 5743, 0.78004)
      (104, 2360, 0.42261)
      (105, 2011, 0.20998)
      (106, 6832, 0.97802)
      (107, 4818, 0.99504)
      (108, 7814, 0.80850)
      (109, 5756, 0.67412)
      (110, 3677, 0.09906)
      (111, 7033, 0.59089)
      (112, 7003, 0.60128)
      (113, 5501, 0.32101)
      (114, 3766, 0.82858)
      (115, 2450, 0.40398)
      (116, 47, 0.16860)
      (117, 4653, 0.90782)
      (118, 8802, 0.72231)
      (119, 4914, 0.39444)
      (120, 8669, 0.51465)
      (121, 2677, 0.50451)
      (122, 9070, 0.35358)
      (123, 5295, 0.26295)
      (124, 2958, 0.81337)
      (125, 5825, 0.22637)
      (126, 3020, 0.94532)
      (127, 5708, 0.74231)
      (128, 6992, 0.22835)
      (129, 3491, 0.33107)
      (130, 8534, 0.88735)
      (131, 2555, 0.76751)
      (131, 6156, 0.92896)
      (132, 1498, 0.66894)
      (132, 2024, 0.28079)
      (133, 2911, 0.30888)
      (133, 4186, 0.63929)
      (134, 6484, 0.13085)
      (134, 8216, 0.83000)
      (135, 9587, 0.92515)
      (136, 8020, 0.96567)
      (137, 6673, 0.27798)
      (138, 4888, 0.71269)
      (139, 9542, 0.82118)
      (140, 1669, 0.49199)
      (140, 4155, 0.01745)
      (141, 6600, 0.74306)
      (142, 205, 0.19785)
      (143, 5612, 0.04786)
      (144, 4255, 0.65196)
      (145, 9425, 0.21035)
      (146, 9772, 0.53688)
      (147, 6135, 0.88571)
      (148, 9910, 0.27411)
      (149, 5114, 0.90142)
      (150, 3121, 0.30154)
      (151, 2191, 0.53186)
      (151, 7128, 0.00181)
      (152, 2050, 0.28999)
      (152, 3762, 0.38043)
      (153, 1167, 0.65449)
      (154, 305, 0.51292)
      (154, 787, 0.34014)
      (155, 532, 0.36246)
      (156, 5551, 0.05407)
      (157, 4557, 0.68195)
      (158, 1733, 0.10110)
      (158, 6760, 0.08875)
      (159, 9798, 0.06475)
      (160, 7456, 0.71964)
      (161, 7128, 0.82728)
      (162, 2620, 0.65683)
      (163, 1795, 0.91498)
      (163, 8041, 0.26984)
      (164, 4038, 0.16155)
      (164, 7270, 0.58697)
      (165, 3413, 0.92714)
      (165, 4850, 0.14923)
      (165, 6325, 0.51785)
      (166, 6969, 0.60962)
      (167, 5649, 0.25792)
      (168, 1220, 0.71442)
      (169, 930, 0.10253)
      (170, 2264, 0.59501)
      (171, 4834, 0.67855)
      (171, 5061, 0.36349)
      (172, 7805, 0.46615)
      (173, 6720, 0.67684)
      (174, 2538, 0.08595)
      (175, 6855, 0.75589)
      (176, 6237, 0.40228)
      (177, 2152, 0.19799)
      (178, 3481, 0.73714)
      (179, 9778, 0.82501)
      (180, 9769, 0.10864)
      (181, 1157, 0.98033)
      (182, 8995, 0.55030)
      (183, 4442, 0.32186)
      (183, 5231, 0.81172)
      (184, 2657, 0.45344)
      (185, 9790, 0.57775)
      (186, 4716, 0.88133)
      (187, 9501, 0.21493)
      (188, 9329, 0.97895)
      (189, 7038, 0.12837)
      (190, 6042, 0.78569)
      (191, 1261, 0.91465)
      (192, 4572, 0.80779)
      (193, 4367, 0.98414)
      (194, 5497, 0.15733)
      (195, 9909, 0.78376)
      (196, 9776, 0.59443)
      (197, 9812, 0.22259)
      (198, 7659, 0.92178)
      (199, 3732, 0.43782)
      (200, 5562, 0.57782)
      (201, 5049, 0.79745)
      (202, 5854, 0.93232)
      (203, 2048, 0.11670)
      (204, 4497, 0.90909)
      (204, 5626, 0.61028)
      (205, 8003, 0.19311)
      (206, 4278, 0.75811)
      (207, 1041, 0.75230)
      (208, 7246, 0.83630)
      (209, 1578, 0.25500)
      (210, 7950, 0.32210)
      (211, 8424, 0.11944)
      (212, 1737, 0.81863)
      (212, 8481, 0.03733)
      (213, 4011, 0.58325)
      (214, 7507, 0.94342)
      (215, 6356, 0.03104)
      (216, 57, 0.48361)
      (217, 4662, 0.20116)
      (218, 2301, 0.24571)
      (218, 9510, 0.12312)
      (219, 217, 0.34866)
      (220, 6006, 0.15868)
      (221, 4501, 0.28970)
      (221, 8937, 0.76509)
      (222, 2126, 0.68720)
      (222, 7894, 0.53801)
      (223, 5136, 0.33011)
      (224, 1954, 0.18294)
      (225, 2930, 0.25202)
      (226, 7341, 0.46973)
      (227, 4647, 0.05389)
      (228, 2247, 0.76664)
      (228, 7278, 0.47331)
      (228, 8304, 0.19741)
      (229, 7342, 0.25495)
      (230, 2932, 0.90050)
