** Set No 1:
(8678.55778, 2611.51237)
(8733.26269, 1280.41467)
(3128.95124, 5063.82165)
------------------------------
** Set No 2:
(5198.14145, 8013.11983)
(6012.95287, 2037.61099)
(8469.59551, 5252.23522)
------------------------------
** Set No 3:
(8251.40552, 7586.37621)
(9006.77645,   31.48167)
(3412.48519, 4400.57817)
------------------------------
** Set No 4:
(1869.85088, 5524.36829)
(3129.42085, 8910.62542)
(8044.21380, 6946.43707)
(8452.98074, 2533.13058)
(7590.73077, 3824.31971)
------------------------------
** Set No 5:
(8767.44180, 9607.62346)
(2857.17527, 5355.55109)
(7564.78567, 2502.53652)
(7808.30083, 1920.96191)
(4850.37368, 9613.42945)
------------------------------
** Set No 6:
(5166.74128, 2461.87676)
(9244.37016, 2533.05064)
(6504.20901, 4397.21843)
(8946.70190, 4541.98235)
(1682.21989,   31.02861)
------------------------------
** Set No 7:
(9649.35360, 3750.24738)
(3113.84273,  988.78830)
(9208.31503,  714.40821)
(7202.73357,  121.32379)
(3428.51666, 2161.31547)
------------------------------
** Set No 8:
(  12.98627, 8527.97152)
(4668.59511, 9568.81863)
(6733.08832, 3876.05918)
(5138.36017, 3785.37766)
(4819.54368, 5031.66296)
(9740.33607, 4614.66728)
(8840.48826, 7166.98311)
(9097.77499, 7347.89766)
( 986.88488,  972.56944)
(2015.05486, 6595.72196)
------------------------------
** Set No 9:
(4978.65745, 9378.02810)
(8032.38389, 1453.23574)
(2665.38288, 5272.72037)
(4965.25670, 5025.72004)
(2005.93025, 4118.36322)
(3360.11969, 5649.41654)
(2308.69956, 6058.32871)
(9651.21574, 6760.76457)
(7623.87574, 3153.82935)
(2469.60094, 7299.17167)
------------------------------
** Set No 10:
(2001.38735, 8715.06852)
(2033.83544, 4772.52808)
( 963.01485, 7345.82424)
( 842.86795, 8671.31843)
(1984.36549, 6282.82893)
(4995.15168, 2786.32249)
(3042.19666,  886.69214)
(9374.04114, 1166.53827)
(2354.83365, 9729.00933)
(6668.03767, 3948.10193)
------------------------------
** Set No 11:
(4328.19284, 7620.68817)
(9735.46585, 6091.61833)
(6417.18989, 8139.41500)
(9176.67799, 4184.45752)
(9122.07558,  739.57365)
(3142.90373, 3896.21492)
(6661.50811, 1365.82038)
(4389.36925, 3419.66729)
(8998.93874, 9641.91015)
( 371.33586, 6286.20641)
------------------------------
** Set No 12:
(6846.14519,  169.25804)
(5785.21468,  313.86519)
(  27.52821,  245.11119)
(3372.93722, 8127.69422)
(6161.03311, 1398.09871)
(8036.27079, 8686.39066)
( 996.34046, 7539.31453)
(1348.78796, 8555.71521)
(3948.22509, 8239.98265)
(8406.71236, 6288.38066)
(2372.75360, 1672.13977)
(6625.88111, 3201.73036)
(5956.25323, 8086.66768)
(6570.57542, 9088.66901)
(8221.75335, 1353.39116)
(8190.99243, 1953.94881)
(5604.86278, 3050.85367)
(1949.64186, 6737.05148)
(5810.81653,  868.76968)
(3232.97063, 9164.55136)
(6236.68528,  674.04661)
( 173.02921, 7368.98324)
( 127.51397, 9491.65608)
(9545.01589, 5717.87722)
(2832.41209, 4864.52738)
(2760.04505, 2415.76962)
(3036.39517, 4582.02805)
(4138.50325, 4873.63271)
(4166.03113, 9604.48207)
(6627.87316, 4584.31103)
(9301.71904, 2161.57325)
(5919.91908, 6299.19011)
(8876.69075,  465.36426)
(2525.64826, 4670.46770)
(4202.59002, 1254.06201)
(2782.46830, 5205.03298)
(1433.75125, 1470.54233)
(3996.48820, 5370.10451)
(9967.06562,  780.03993)
(5963.91796, 5997.41550)
(6471.58695, 7344.30422)
( 969.03931, 2751.87804)
( 751.79508,  294.90563)
(7022.23840, 2362.29435)
(2470.70294, 3686.27358)
(4580.10339, 8555.83035)
(8393.75354, 8359.43379)
(5280.60575, 8194.59937)
(8261.72689,  110.30526)
(2329.90534, 8981.85159)
(3660.63253, 4831.80790)
(6093.32499, 6286.90232)
(8328.83948, 3886.92022)
(5171.56522, 8132.07104)
( 226.45109, 5870.22283)
(2784.24054, 4191.54833)
(5389.20630, 4128.34334)
( 636.33533, 6771.24349)
